sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
0,0.06014254751519761,0.04712931820226425,0,0,0,1,0,0,6.5769416132193745,200,2
1,0.06014254751519761,0.04386176631236541,0,0,0,1,0,0,6.511065041468297,200,2
2,0.06014254751519761,0.04712931820226425,0,0,0,1,0,0,6.5769416132193745,200,2
3,0.16803496288872782,0.15050338431057042,0,0,0,1,0,0,7.0524963832378775,200,3
4,0.16937088436797865,0.14449573881033498,0,0,0,0,0,0,7.059377754504319,198,3
5,0.1084084297298694,0.08422442132481298,0,0,0,0,0,0,8.126519012962687,115,2
6,0.31999126558560675,0.17864810846346535,0,0,0,1,0,0,6.710957975689631,200,2
7,0.5526797046610823,0.2557749869599869,0,0,0,1,0,0,7.05837538371084,200,2
8,0.520095940218504,0.18336443024562005,3,2,1,0,0,2,6.804847116451786,189,2
9,0.39932986940189374,0.23075813761208858,0,0,0,0,0,0,7.774801788230096,171,3
10,0.5558769608990758,0.2272663445548715,0,0,0,1,0,0,7.0574611862115155,200,2
11,0.6018722043715202,0.2506121747167904,0,0,0,1,0,0,6.908645709799929,200,3
12,0.04335335603622518,0.03662268725871205,0,0,0,1,0,0,6.359099168103949,200,2
13,0.5796149166168396,0.23840198228045076,0,0,0,1,0,2,6.808388633381322,200,3
14,0.16099151602141798,0.12423129862781322,0,0,0,0,0,0,6.971532664515714,176,3
15,1.1006000274209162,0.27883947172310264,3,3,0,1,0,0,6.924333780134259,200,3
16,0.7493658151503763,0.2787973825990568,3,3,0,1,0,0,6.825599624680505,200,3
17,0.05799347097521801,0.04798834795494927,0,0,0,0,0,0,7.414983949998446,176,2
18,0.05799347097521801,0.04798834795494927,0,0,0,0,0,0,7.414983949998446,176,2
19,1.1014479099824301,0.27965225632639096,3,3,0,1,0,0,6.90928873805242,200,3
20,1.1058218010063237,0.3128792590801517,16,16,0,0,0,1,7.4203140739496884,184,3
21,0.054403366548778316,0.039203856983148905,0,0,0,0,0,0,7.331848744674133,179,2
22,1.1235921818639218,0.30942684747746346,16,16,0,0,0,1,7.450184523869246,184,3
23,0.4588738887074521,0.16048932325369278,4,4,0,0,0,0,8.092534810935366,178,3
24,0.07008265885483651,0.042579315743378,0,0,0,0,0,0,7.375600754084243,179,2
25,1.1240242490936045,0.30970680285190494,16,16,0,0,0,1,7.448490543777979,184,3
26,1.3471221442315475,0.41764343511577967,6,4,2,0,0,3,8.716144164961964,176,3
27,0.07816077921559476,0.05119505084493684,0,0,0,0,0,0,7.43342757715237,176,2
28,0.07816077921559476,0.05119505084493684,0,0,0,0,0,0,7.43342757715237,176,2
29,1.6052414099073289,0.4239453021560709,0,0,0,1,0,6,9.140690309154158,178,3
30,1.6089980863399234,0.49210151866935853,2,0,2,1,0,6,8.95588060079801,195,4
31,0.2296009830919613,0.18259065340672667,0,0,0,0,0,0,7.3574554433866215,195,3
32,1.6089980863399234,0.4990322197058859,2,0,2,1,0,6,8.956564691554407,195,4
33,2.4308384004875143,0.827600853242562,2,0,2,0,0,2,8.03833900961728,195,4
34,3.343032456307314,1.406711329993972,6,4,2,0,0,0,8.179613804916785,124,4
35,2.47646530811773,1.5613266997113608,9,4,5,0,0,2,8.520281335170472,124,4
36,2.4293458245799506,0.8256492762246765,2,0,2,0,0,2,8.033391339603552,197,4
37,2.7104848807736817,1.31554916013301,7,3,4,0,0,3,8.23968642474207,124,4
38,1.564481293823957,0.6462160965841985,1,1,0,0,0,0,9.15542092351917,124,3
39,3.343032456307314,1.3628363344305483,4,4,0,0,0,0,7.957309263725991,124,3
40,2.875903553691142,1.2481585854249018,26,20,6,0,0,7,9.00795000566634,99,4
41,0.27733168716052137,0.20176862699030884,0,0,0,0,0,0,7.384000597428591,124,3
42,2.1450509501761146,1.1342487657957918,4,4,0,0,0,0,8.287321782914168,124,3
43,0.27733168716052137,0.20176862699030884,0,0,0,0,0,0,7.384000597428591,124,3
44,0.8939266995815853,0.5237184592909793,4,1,3,2,1,0,8.329576204054922,101,4
45,1.9139296555097407,1.273892154254883,8,7,1,0,0,0,8.589864976366599,155,5
46,0.27733168716052137,0.20176862699030884,0,0,0,0,0,0,7.384000597428591,124,3
47,2.366829220911667,0.7846279087248818,6,4,2,0,0,2,8.74613921836212,109,3
48,1.9376290248494532,0.6947636464349349,4,4,0,0,0,0,9.079717084922795,124,3
49,3.4253635346525306,1.4993826634602843,6,4,2,0,0,0,8.522678979915996,131,5
