sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
0,0.17120820710012197,0.15132942552842726,0,0,0,0,0,0,8.694074125860785,78,2
1,0.2496193191893737,0.2217377836981568,0,0,0,0,0,0,8.01273142706481,91,2
2,0.31075980612423465,0.24349038460025751,2,2,0,0,0,0,7.915463446924722,91,2
3,0.4479566474695285,0.3700693013841189,0,0,0,0,0,1,8.707530929870606,91,2
4,0.7079589860600497,0.5408698972602975,0,0,0,0,0,0,9.71222863347027,91,2
5,0.8865647214652583,0.6375463458559177,0,0,0,0,0,0,10.18739740746776,91,2
6,0.8869620381631841,0.6576731232435036,0,0,0,0,0,0,10.153649422908263,92,2
7,1.1011703635852905,0.7890245354739238,0,0,0,0,0,0,10.538621750946522,92,2
8,1.2592401548039425,0.7769553958766438,0,0,0,0,0,0,11.425369087905457,92,2
9,1.3279626917404825,0.9259507454053962,1,1,0,1,0,5,13.276404854428916,92,2
10,2.5973091373800576,1.1142612290310678,2,2,0,1,0,5,12.077748398796704,96,2
11,0.7298067437574589,0.35462129292624756,0,0,0,1,0,5,12.070224319235905,96,2
12,0.9840386401039467,0.42965371914414613,1,1,0,1,0,5,12.063449777785214,96,2
13,1.3118849053430641,0.8314728333439367,2,2,0,1,0,5,12.171768049637864,92,2
14,0.765440324760358,0.3606111364784066,1,1,0,1,0,5,9.276039272345189,96,2
15,1.3730022334901664,0.47118967684416974,2,2,0,1,0,5,11.690879024797859,96,2
16,1.3118849053430641,0.8314728333439367,2,2,0,1,0,5,12.171768049637864,92,2
17,0.194284504194988,0.1123660025830387,0,0,0,0,0,1,7.901718499137423,106,2
18,2.5973091373800576,1.1142612290310678,2,2,0,1,0,5,12.077748398796704,96,2
19,1.7752510630266793,0.6526855370918273,4,4,0,1,0,5,9.399179403305748,96,2
20,0.7037519990423315,0.37642513787613796,2,2,0,2,0,10,15.18311344914124,41,2
21,2.0416036398175086,1.0653464475234102,1,1,0,1,0,5,10.775870228817098,96,3
22,1.2338737861991629,0.7522077084059688,0,0,0,1,0,5,12.177693969705363,91,2
23,0.8789549786951341,0.6010523065992263,0,0,0,1,0,5,12.177376015690763,91,2
24,4.125833240694271,1.299922490639237,0,0,0,1,0,5,10.293833057721862,137,4
25,1.9496931119130616,0.6845079063041022,0,0,0,1,0,5,9.193840595868558,137,4
26,3.8885757563786463,1.1442410724558518,0,0,0,1,0,5,10.61578614116925,186,4
27,3.6731339508884506,1.082524589501341,1,1,0,1,0,5,11.327756145328852,137,3
28,3.954270649440271,1.288915870128284,0,0,0,1,0,5,10.327145749697406,144,4
29,4.202981977810947,1.3899068084683923,0,0,0,1,0,5,10.266538777109263,137,4
30,0.7463778471593457,0.5569490177306651,0,0,0,0,0,0,8.018361564293487,168,4
31,6.623425187554611,2.5519060496196464,0,0,0,2,0,10,12.321526519581056,137,4
32,3.2694522466698435,1.291543747900704,6,6,0,2,0,10,9.928288751384294,137,4
33,2.6385144081567065,1.4106864189192125,0,0,0,3,0,10,12.371929519567027,200,4
34,5.48828035315582,1.5491520501035152,0,0,0,1,0,5,15.079046355259985,137,2
35,5.495260043075788,1.9981273802420123,1,1,0,0,0,4,11.44964088240373,137,3
36,6.229214176745129,2.1344863117253197,0,0,0,2,0,10,12.970379824607448,137,3
37,3.143929603416456,1.0415465895091633,2,2,0,1,0,9,9.67485375820383,137,4
38,6.795837835250567,2.7010177800578363,1,1,0,2,0,10,12.192786282430717,137,4
39,4.335771394489542,2.260631321711538,1,1,0,2,0,10,12.206056304933883,137,4
40,6.259137914431749,2.191710328673554,0,0,0,2,0,10,12.307464614122575,199,4
41,6.736769701866381,2.6987469717168264,3,3,0,2,0,10,11.94041373409898,137,4
42,7.197656337953546,2.924581603291305,1,1,0,2,0,10,11.788824525330062,137,5
43,6.1830630638292305,1.8120299745126482,0,0,0,2,0,7,11.946301304737954,100,4
44,7.512858818613839,3.122590634022566,1,1,0,2,0,10,11.488566949618857,162,6
45,4.5152193790416195,3.450157754638321,0,0,0,2,0,5,9.063802046469624,200,6
46,7.179326178789479,2.905565536387747,1,1,0,2,0,14,12.17277333528491,162,6
47,6.606222170289135,2.542951590368999,1,1,0,3,0,10,11.77896318128827,200,6
48,7.15753513505987,2.534866432548323,1,1,0,1,0,5,12.142521146438332,162,5
49,7.861218205341617,2.8695472761223364,6,6,0,2,0,11,12.967539899103327,172,5
50,7.889818334963465,2.9056801571695856,5,5,0,2,0,10,13.085113699387778,163,5
51,7.081943326578313,2.218197823208803,2,2,0,3,0,10,13.090536152356313,200,5
52,8.405974541235267,3.3118539715282216,5,5,0,2,0,10,12.34874898441621,163,6
53,7.215465342876123,2.25412850908677,1,1,0,1,0,5,12.221881727704393,162,4
54,8.405974541235267,3.3118539715282216,5,5,0,2,0,10,12.34874898441621,163,6
55,8.576708487817582,2.9550468609368874,2,2,0,2,0,10,12.285668786148348,163,6
56,8.387350752704638,3.933549845943875,2,2,0,3,0,15,12.485862900280472,163,6
57,8.054214166851352,2.7329302186409197,2,2,0,2,0,10,12.094680710873043,163,6
58,8.576708487817582,3.0453467293475343,2,2,0,2,0,10,12.27232024745185,163,6
59,8.576708487817582,3.0759536984066407,2,2,0,2,0,10,12.266432940162908,163,6
60,8.540781110952363,2.803921952713452,2,2,0,2,0,10,12.402689873684174,174,6
61,7.887262136545856,2.527042902701364,2,2,0,2,0,10,13.013459493588362,163,5
62,8.798279587622266,2.7664138314101443,2,2,0,1,0,6,11.478638688354875,162,6
63,8.74184998666425,3.0413869609235715,2,2,0,1,0,6,11.835328502966226,137,6
64,6.2776042982602265,2.2605814583957207,1,1,0,1,0,6,11.563948213631807,162,5
65,9.209310826379387,3.1916680571176217,2,2,0,1,0,6,10.756953332463421,162,6
66,9.197545413922994,3.102794815733622,2,2,0,1,0,6,10.7812639778462,162,6
67,4.691780506849742,2.490384030228186,1,1,0,2,0,6,10.979700398488685,200,6
68,10.050355263678346,3.496320864691446,3,3,0,1,0,6,10.629322280138153,147,6
69,8.800604406181524,3.8026042283957224,2,2,0,1,0,5,10.49001073100233,137,6
70,9.87019329718116,3.693992106487116,3,3,0,2,0,10,11.170727882328896,147,6
71,10.050355263678346,3.496320864691446,3,3,0,1,0,6,10.629322280138153,147,6
72,9.956553046158012,3.3975697669337688,3,3,0,1,0,5,10.684290856011337,147,6
73,10.050355263678346,3.5053118443192064,3,3,0,1,0,6,10.636307009443158,147,6
74,9.784095431075992,3.3422255065830857,3,3,0,1,0,6,10.616225572581829,147,6
75,9.235307574850768,3.2476532108608525,2,2,0,1,0,5,10.699347703490004,147,5
76,9.8623539967111,3.359708444657468,3,3,0,1,0,6,10.81911529951706,147,6
77,4.912868888592467,2.202625613343713,2,2,0,1,0,6,11.647620757444656,147,5
78,4.686578333613484,2.00765792704018,2,2,0,1,0,7,12.220231952949952,147,5
79,8.92410685706557,2.9649200553823354,2,2,0,1,0,6,10.910295577763481,146,5
80,1.6095370250388423,0.7862826526300948,8,8,0,0,0,1,7.285678575695092,147,5
81,1.6095370250388423,0.7862826526300948,8,8,0,0,0,1,7.285678575695092,147,5
82,10.042457642441395,3.610927477919131,4,4,0,1,0,6,10.597631315658992,147,6
83,1.6095370250388423,0.7862826526300948,8,8,0,0,0,1,7.285678575695092,147,5
84,10.18213585855057,2.7476568242842574,2,2,0,2,0,7,10.371879152693767,147,6
85,9.846568411256657,3.665583867515171,3,3,0,4,1,9,10.76184763855635,147,6
86,9.744393918573193,2.502216210676231,1,1,0,2,0,6,10.44772452639155,147,5
87,7.5109382553635875,2.4194679918601585,2,2,0,2,0,7,11.011571351451279,104,5
88,10.034106913736462,2.851118683004576,3,3,0,3,0,11,11.054323877659588,146,6
89,7.8266500845774924,2.58661240329398,1,1,0,2,0,7,10.445929507051368,147,6
90,9.067652864394187,2.293952397217899,1,1,0,2,0,7,10.592462046251962,147,5
91,7.666615719355423,2.1264899362783733,2,2,0,2,0,7,10.809722453000727,147,5
92,10.181665056400329,2.715555887122815,2,2,0,2,0,7,10.380389928529073,147,6
93,7.324053076054132,2.411986429372762,1,1,0,2,0,7,10.461022549115384,147,6
94,10.18213585855057,2.8138618353101936,5,5,0,2,0,7,10.404501742023806,147,6
95,9.021067981704094,2.2337645082228823,1,1,0,2,0,6,10.649658429301986,147,5
96,8.793111551901701,2.180557143058396,1,1,0,2,0,7,10.846413615674328,147,5
97,9.24008506505409,2.560191634162299,1,1,0,2,0,9,10.769205570286976,157,6
98,9.067652864394187,2.293952397217899,1,1,0,2,0,7,10.592462046251962,147,5
99,10.18213585855057,2.7476568242842574,2,2,0,2,0,7,10.371879152693767,147,6
100,9.744393918573193,2.502216210676231,1,1,0,2,0,6,10.44772452639155,147,5
101,10.188536915913367,2.7746419480422984,2,2,0,2,0,10,10.385182525703799,147,6
102,10.056756321041144,3.523305988449487,3,3,0,1,0,9,10.642818176636029,147,6
103,10.198643250875735,2.8246005189641665,2,2,0,2,0,6,10.302466957744592,147,6
104,10.035812203168778,2.600007639418829,2,2,0,2,0,8,10.70022732182433,147,6
105,10.353406535962268,2.8490503714094624,2,2,0,2,0,7,10.19977573961428,147,6
106,6.862891019934923,2.6372957658393372,2,2,0,1,0,9,10.754250386616901,175,6
107,0.7428686174727962,0.30087989612595895,4,4,0,1,0,2,6.324901133405664,147,4
108,9.282898661070117,2.9785350118609455,3,3,0,2,0,9,11.136998911808323,104,6
109,10.349039972034365,3.09788985506758,3,3,0,2,0,7,10.203240325914084,148,6
110,10.353406535962268,2.8490503714094624,2,2,0,2,0,7,10.19977573961428,147,6
111,8.442938057668224,2.7095827423828185,2,2,0,1,0,9,11.640002267605423,147,6
112,10.198643250875735,2.8246005189641665,2,2,0,2,0,6,10.302466957744592,147,6
113,9.663960184690541,2.273946125404808,2,2,0,2,0,7,10.739556178031226,147,5
114,9.972085787386662,3.5153404859458663,3,3,0,2,0,7,10.445551576004084,104,6
115,10.241270769318234,2.671931187136614,2,2,0,2,0,10,10.494878191147592,147,6
116,9.960076005632684,2.7692179780164645,1,1,0,2,0,7,9.87542518711156,147,5
117,8.022154187180961,2.631432366797379,1,1,0,2,0,7,10.27429327586683,147,6
118,10.27296706820803,2.8123248852291263,2,2,0,2,0,7,10.227676710216612,147,6
119,10.353406535962268,2.7143665483095933,3,3,0,2,0,7,10.178413984341969,147,6
120,7.319277041285857,2.196224178708177,4,2,2,2,0,7,10.723204575937737,147,6
121,10.3433002009999,2.799091800487594,2,2,0,2,0,11,10.281758845247309,147,6
122,7.682208932775287,2.5567588561892105,2,2,0,2,0,7,10.793842510464138,104,5
123,8.19837999947608,2.184277781713803,1,1,0,3,0,7,10.403593712823325,200,6
124,10.352935733812027,2.816949434248019,2,2,0,2,0,7,10.207982037020853,147,6
125,9.058528033268285,2.349592361685206,0,0,0,2,0,7,10.387392060726908,162,5
126,1.4997603579169478,0.7447480228495,17,17,0,1,0,2,6.833705000617938,147,5
127,7.470644598260631,2.5893722036167954,2,2,0,3,0,12,11.53021136794704,105,5
128,7.604380656850319,2.306962328616712,2,2,0,2,0,7,12.089574765765777,147,5
129,10.002757962891952,2.6969605294552284,2,2,0,3,0,12,11.427999990514193,147,6
130,5.334001650090812,2.4434539967943274,2,2,0,1,0,8,11.15183258247499,167,6
131,10.363691951469665,2.813023084288461,2,2,0,2,0,8,10.1777830619051,147,6
132,9.674245600197938,2.237918838283806,2,2,0,2,0,8,10.712170690046138,147,5
133,9.234556977877983,2.553307123480719,2,2,0,2,0,7,10.387624982719707,147,5
134,4.485412364122487,1.921157712614685,1,1,0,1,0,6,11.862298574288864,147,4
135,1.2322981725668125,0.5920243507308027,15,15,0,1,0,3,6.817977822076823,147,5
136,7.357345764987336,2.3540141877040868,2,2,0,1,0,7,11.542687154598042,141,5
137,10.363691951469665,2.846984241737607,2,2,0,2,0,8,10.173911652305716,147,6
138,9.503140698347757,2.564629609255236,1,1,0,2,0,7,10.286956217828145,165,6
139,7.985635223469098,3.273141714353486,6,6,0,2,0,7,10.505905762996518,147,6
140,9.238923541805885,2.395345944343103,1,1,0,2,0,7,10.389132155535698,147,5
141,3.853544858083901,1.8306308483114868,2,2,0,1,0,6,11.435461831304037,147,5
142,10.105328835368061,3.501241053070922,3,3,0,3,0,12,10.479655786272778,159,6
143,10.553577104747516,2.9090361128536273,2,2,0,2,0,7,9.598941250501625,160,6
144,10.364922236292122,2.780873722000544,2,2,0,2,0,7,9.652523304016812,169,6
145,0.7672836527249164,0.4507547047360767,12,12,0,0,0,0,7.088178729351336,160,4
146,8.64108097414172,2.373036298797512,2,2,0,2,0,5,10.859856571622446,200,5
147,8.3987833480442,2.24527592603104,1,1,0,2,0,10,10.627283715366595,160,6
148,5.387283418136171,2.3259560941737574,2,2,0,2,0,5,10.335611943528136,200,6
149,7.773567930559095,2.629953411039129,3,3,0,2,0,7,11.587635486810512,160,6
150,9.86413075347579,2.380952968723567,2,2,0,2,0,7,9.987056798131572,160,5
