sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
0,1.0217170416669132,0.468531830525735,2,2,0,0,0,0,7.133658438095588,125,3
1,2.167434645449586,0.6321716155551474,0,0,0,0,0,0,12.357675883395252,70,2
2,0.18862896987762687,0.07419298181187034,0,0,0,0,0,0,7.91452181972335,153,2
3,0.12519136261069294,0.07572774239165285,0,0,0,0,0,0,6.84473475482703,137,2
4,0.6890708413484611,0.458598868560709,0,0,0,0,0,0,7.705782893762098,115,2
5,0,0,0,0,0,0,0,0,10.05354300798378,59,1
6,4.278070464716276,0.7751796701105516,0,0,0,0,0,0,8.57275018025919,106,2
7,2.3902891390201284,0.8594675479051656,0,0,0,0,0,0,7.204475216408823,192,2
8,1.59026369193901,0.458365977265541,0,0,0,0,0,0,7.847102162846775,107,2
9,0.09583841229286422,0.055895915883159654,0,0,0,0,0,0,9.032629238392285,102,2
10,4.845785437871735,0.83645840079692,0,0,0,0,0,0,9.069601298556819,107,2
11,0.16883641283376452,0.10186049129649585,0,0,0,0,0,0,8.376302158168677,118,2
12,0.6129181858439249,0.32455676417304513,0,0,0,0,0,0,12.110772860143662,50,2
13,1.7529583025849167,0.461329145248413,0,0,0,0,0,0,7.045858029503442,94,3
14,2.2738597340867828,0.7692235905510355,0,0,0,0,0,0,7.065710750053597,163,3
15,0,0,0,0,0,0,0,0,9.046634025750038,142,1
16,1.8136092276918703,0.49637477711016476,0,0,0,0,0,0,6.617321212696936,139,2
17,0.4486714173005104,0.2390091943065371,1,1,0,0,0,0,11.42158897873021,72,2
18,1.1065405225510712,0.5517302234319889,0,0,0,0,0,0,8.748963493745268,89,3
19,2.4533443717766397,0.6410659014513216,0,0,0,0,0,0,8.52183087481665,112,2
20,0.6300949729033499,0.34786021046958426,0,0,0,0,0,0,10.148236730064092,76,2
21,2.2194228199145414,0.5524758025621569,0,0,0,0,0,0,9.591052293906568,94,2
22,0.5958740873776476,0.24702864357830953,0,0,0,0,0,2,8.51736320208836,71,2
23,2.5759022216530405,1.0597840104958778,0,0,0,0,0,0,6.965565850921636,184,3
24,5.721996851038274,1.8388516188777473,0,0,0,0,0,0,10.469908827145893,106,3
25,6.587163952732851,2.3332674827275697,0,0,0,1,0,6,8.954087436235302,173,4
26,0.3868376594790112,0.1909737505293208,1,1,0,0,0,0,9.017606467013357,84,2
27,5.762149083114116,1.7899322854252677,0,0,0,0,0,0,6.540097890827295,171,3
28,7.18110683593194,2.157846242861312,0,0,0,0,0,1,10.340897052899283,131,3
29,0.07060056496616351,0.030273126126019193,0,0,0,0,0,0,9.905020320004978,123,2
31,0.17580669874257854,0.07623812106294757,0,0,0,0,0,0,7.843711095286032,172,2
32,0.6871911624352044,0.3214751405861033,0,0,0,0,0,0,9.196887276962695,82,2
33,0.07380144134947642,0.05388112332475048,0,0,0,0,0,0,7.266326659845266,147,2
34,4.341599661982602,0.6453869349012497,0,0,0,0,0,3,7.512444170743928,112,3
35,2.7094801806931774,0.7678679195312178,0,0,0,0,0,0,9.160716476660136,119,2
36,6.926650796311931,2.6239598645591133,5,0,5,0,0,0,7.59391404059146,146,5
37,3.1949298453283785,0.5659310098474414,0,0,0,0,0,0,8.816540960140841,103,2
38,0,0,0,0,0,0,0,0,9.917218277143514,101,1
39,4.723186485049859,1.789893220628594,2,2,0,0,0,1,10.016412928872597,80,3
40,0.027233453528760332,0.021299116193329137,0,0,0,0,0,0,8.362841256477536,77,2
41,0.12492101721654919,0.06485536929517723,1,1,0,0,0,0,7.579874970827491,122,2
42,1.0289428929706916,0.44142144443105186,0,0,0,0,0,1,10.83206769905746,78,2
43,0.6512390097024728,0.25067437891654226,0,0,0,0,0,0,6.550147075144177,119,2
44,4.591157210765811,0.8060663557622438,0,0,0,0,0,0,7.9326816520583465,130,2
45,5.904746484644319,1.6854257033582123,2,1,1,0,0,0,7.450256884769127,138,4
