sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
0,0.01676852039922526,0.01587468221490976,0,0,0,0,0,0,6.852591455237216,147,2
1,0,0,0,0,0,0,0,0,7.035997912094656,126,1
2,0.040130532471110855,0.038418055198175115,0,0,0,1,0,0,6.892846210817244,200,3
3,0.39375867906148937,0.3504121361938536,0,0,0,0,0,0,8.449613929859044,97,3
4,0.008299640032719215,0.007571805010242888,0,0,0,1,0,0,6.3330489550624955,200,2
5,0.017045497894551884,0.009706496313847422,0,0,0,1,0,0,6.210836561108654,200,2
6,0.29590244370235896,0.23953501127567642,0,0,0,1,0,0,7.904544822527631,200,5
7,0.5243876162749963,0.34836240045081773,0,0,0,1,0,0,7.634998518902683,200,5
8,0.03783544121515989,0.026892230241176502,0,0,0,0,0,0,9.057521218977488,181,3
9,0.049085477785845155,0.02617026088877869,0,0,0,0,0,0,9.278373419799177,197,2
10,0.09986541991949902,0.06640701789671236,0,0,0,0,0,0,9.422520456999464,86,2
11,0.29901813582868664,0.13018300764375523,0,0,0,1,0,5,10.390755400516426,104,3
12,0.013782674174756565,0.01218553942739179,0,0,0,0,0,0,8.946634689683693,128,2
13,0.9554190763129088,0.30473242100059617,0,0,0,0,0,0,8.722270777159357,168,2
14,0.24243467871232122,0.1260524024678989,0,0,0,0,0,0,6.259407259697555,113,2
15,1.2243971028663836,0.875472604940409,0,0,0,0,0,0,7.445204926456136,87,3
16,0.4875761728855907,0.42810243494251,0,0,0,1,0,0,7.3109136935211785,200,5
17,0,0,0,0,0,0,0,0,7.042440334202799,104,1
18,0.9472827162905253,0.5297408706517922,2,2,0,1,0,0,7.864104516572494,200,5
19,0.03842495074305311,0.028138570323783706,0,0,0,0,0,0,9.232120512174232,56,2
20,0.0189355940301219,0.017896450873207688,0,0,0,0,0,0,8.683282419811519,176,2
21,0.6098169958957843,0.35412155316036625,0,0,0,0,0,0,8.413788022049328,137,4
22,0.32644243070243767,0.11571931105320689,5,5,0,0,0,0,6.730874232980088,92,2
23,0.1167915728500899,0.04798456919522927,0,0,0,0,0,4,7.446264764782368,121,2
24,0.09014015032737675,0.06671752234216312,0,0,0,1,0,0,8.38903078333661,200,3
25,0.44577054740858657,0.24763692363825623,5,5,0,0,0,0,8.275644067548967,103,3
26,0.15758969855606403,0.1342254021477253,0,0,0,0,0,0,6.819360592869272,189,4
27,0.03399820865427796,0.014357939408333508,0,0,0,0,0,1,9.048732021604922,177,2
28,0,0,0,0,0,0,0,0,8.25383449669257,71,1
29,0.028716539587961217,0.01460278827520737,0,0,0,0,0,0,7.773225270955539,200,2
30,0.13354951916938732,0.0838670320001984,0,0,0,0,0,0,10.980575147953962,89,2
31,0.7279445455129271,0.32711648472261634,0,0,0,0,0,0,10.389625059710493,97,2
32,0.08267197018233807,0.06929591977462658,0,0,0,0,0,0,6.294046181771239,162,2
33,0.19126527667678275,0.06790521718313412,0,0,0,2,0,5,6.291187634660303,200,2
34,0.30898275533219016,0.1687652174407256,0,0,0,0,0,4,7.348821257349084,134,2
35,0.9734525825583178,0.6195474503175074,0,0,0,1,0,0,7.895612024014488,200,5
